sentence1,sentence2,similarity
§ 10 findet Anwendung erstmals nach Inkrafttreten dieses Gesetzes. Bis dahin gilt § 9 des Energiewirtschaftsgesetzes vom 24. April 1998.,Die Soldaten erhalten staatsbürgerlichen und völkerrechtlichen Unterricht. Der für den Unterricht verantwortliche Vorgesetzte darf die Behandlung politischer Fragen nicht auf die Darlegung einer einseitigen Meinung beschränken. Das Gesamtbild des Unterrichts ist so zu gestalten dass die Soldaten nicht zu Gunsten oder zu Ungunsten einer bestimmten politischen Richtung beeinflusst werden. Die Soldaten sind über ihre staatsbürgerlichen und völkerrechtlichen Pflichten und Rechte im Frieden und im Krieg zu unterrichten.,widerspruch
"Streitgenossenschaft ist notwendig, wenn alle Streitgenossen einzeln nicht zu einem Vergleich kommen.",Kann das streitige Rechtsverhältnis allen Streitgenossen gegenüber nur einheitlich festgestellt werden oder ist die Streitgenossenschaft aus einem sonstigen Grund eine notwendige so werden wenn ein Termin oder eine Frist nur von einzelnen Streitgenossen versäumt wird die säumigen Streitgenossen als durch die nicht säumigen vertreten angesehen. Die säumigen Streitgenossen sind auch in dem späteren Verfahren zuzuziehen.,perfekt
Ehegatte errichtet Testament nach § 2247 Abs. 2 VwGO.,Haben Ehegatten oder Lebenspartner in einem Erbvertrag durch den sie sich gegenseitig als Erben einsetzen bestimmt dass nach dem Tode des Überlebenden der beiderseitige Nachlass an einen Dritten fallen soll oder ein Vermächtnis angeordnet das nach dem Tode des Überlebenden zu erfüllen ist so findet die Vorschrift des § 2269 entsprechende Anwendung.,widerspruch
Klage kann die Feststellung von Rechten begehrt werden.,Durch Klage kann die Feststellung des Bestehens oder Nichtbestehens eines Rechtsverhältnisses oder der Nichtigkeit eines Verwaltungsakts begehrt werden wenn der Kläger ein berechtigtes Interesse an der baldigen Feststellung hat (Feststellungsklage). Die Feststellung kann nicht begehrt werden soweit der Kläger seine Rechte durch Gestaltungs- oder Leistungsklage verfolgen kann oder hätte verfolgen können. Dies gilt nicht wenn die Feststellung der Nichtigkeit eines Verwaltungsakts begehrt wird.,perfekt
"Besitzer ist verpflichtet, Früchte, die den §§ 987 bis 992 anwendbar sind, herauszugeben. Für die Dauer der Nutzung, die dem Besitzer verbleibt, gilt die Vorschrift des § 101.",Ist ein landwirtschaftliches Grundstück herauszugeben so hat der Eigentümer die Kosten die der Besitzer auf die noch nicht getrennten jedoch nach den Regeln einer ordnungsmäßigen Wirtschaft vor dem Ende des Wirtschaftsjahrs zu trennenden Früchte verwendet hat insoweit zu ersetzen als sie einer ordnungsmäßigen Wirtschaft entsprechen und den Wert dieser Früchte nicht übersteigen.,widerspruch
"Der Verletzte kann Zinsen des ersetzenden Betrags verlangen, wenn der Wert der Sache vermindert ist.",Der Besitz wird dadurch beendigt dass der Besitzer die tatsächliche Gewalt über die Sache aufgibt oder in anderer Weise verliert. Durch eine ihrer Natur nach vorübergehende Verhinderung in der Ausübung der Gewalt wird der Besitz nicht beendigt.,widerspruch
"Wohnraum, den der Vermieter an einen Dritten veräußert hat, ist dem Mieter entzogen, wenn der Erwerber dem Vermieter gegenüber die Erfüllung der sich aus dem Mietverhältnis ergebenden Pflichten übernommen hat.",Hat vor der Überlassung des vermieteten Wohnraums an den Mieter der Vermieter den Wohnraum an einen Dritten veräußert oder mit einem Recht belastet durch dessen Ausübung der vertragsgemäße Gebrauch dem Mieter entzogen oder beschränkt wird so gilt das Gleiche wie in den Fällen des § 566 Abs. 1 und des § 567 wenn der Erwerber dem Vermieter gegenüber die Erfüllung der sich aus dem Mietverhältnis ergebenden Pflichten übernommen hat.,perfekt
"Wohnraum, den der Vermieter an einen Dritten veräußert hat, ist dem Mieter entzogen, wenn der Erwerber die Pflichten, die sich aus dem Mietverhältnis ergeben, erfüllt hat.",Die Miete für ein Grundstück und für bewegliche Sachen ist am Ende der Mietzeit zu entrichten. Ist die Miete nach Zeitabschnitten bemessen so ist sie nach Ablauf der einzelnen Zeitabschnitte zu entrichten. Die Miete für ein Grundstück ist sofern sie nicht nach kürzeren Zeitabschnitten bemessen ist jeweils nach Ablauf eines Kalendervierteljahrs am ersten Werktag des folgenden Monats zu entrichten. Für Mietverhältnisse über Räume gilt § 556b Abs. 1 entsprechend.,widerspruch
Der Mieter hat die Mietsache dem Vermieter in einem zum vertragsgemäßen Gebrauch geeigneten Zustand zu überlassen und sie während der Mietzeit in diesem Zustand zu erhalten.,Durch den Mietvertrag wird der Vermieter verpflichtet dem Mieter den Gebrauch der Mietsache während der Mietzeit zu gewähren. Der Vermieter hat die Mietsache dem Mieter in einem zum vertragsgemäßen Gebrauch geeigneten Zustand zu überlassen und sie während der Mietzeit in diesem Zustand zu erhalten. Er hat die auf der Mietsache ruhenden Lasten zu tragen. Der Mieter ist verpflichtet dem Vermieter die vereinbarte Miete zu entrichten.,perfekt
"Vereine, die nicht rechtsfähig sind, haften nach den Regeln über die Gesellschaft.",Wird zwischen den bisherigen Mitgliedern des Vorstands und einem Dritten ein Rechtsgeschäft vorgenommen so kann die Änderung des Vorstands dem Dritten nur entgegengesetzt werden wenn sie zur Zeit der Vornahme des Rechtsgeschäfts im Vereinsregister eingetragen oder dem Dritten bekannt ist. Ist die Änderung eingetragen so braucht der Dritte sie nicht gegen sich gelten zu lassen wenn er sie nicht kennt seine Unkenntnis auch nicht auf Fahrlässigkeit beruht.,widerspruch
Apotheken müssen eine ordnungsgemäße Arzneimittelversorgung garantieren.,Den Apotheken obliegt die im öffentlichen Interesse gebotene Sicherstellung einer ordnungsgemäßen Arzneimittelversorgung der Bevölkerung. Wer eine Apotheke und bis zu drei Filialapotheken betreiben will bedarf der Erlaubnis der zuständigen Behörde. Die Erlaubnis gilt nur für den Apotheker dem sie erteilt ist und für die in der Erlaubnisurkunde bezeichneten Räume.,perfekt
"Forderungen, die nach § 718 Abs. 1 erworben wurden, gelten erst dann gegen den Schuldner, wenn er von der Zugehörigkeit Kenntnis erlangt.",Hat ein Teilhaber gegen einen anderen Teilhaber eine Forderung die sich auf die Gemeinschaft gründet so kann er bei der Aufhebung der Gemeinschaft die Berichtigung seiner Forderung aus dem auf den Schuldner entfallenden Teil des gemeinschaftlichen Gegenstands verlangen. Die Vorschriften des § 755 Abs. 2 3 finden Anwendung.,perfekt
"Bekanntmachung, dass ein Umlegungsplan in der Gemeinde ortsüblich bekannt gemacht wird. Darüber hinaus wird auszugsweise nach § 70 Absatz 1 Satz 1 zugestellt.",Wird die Enteignung eines Grundstücks von der Gemeinde zu den in § 85 Absatz 1 Nummer 1 und 2 bezeichneten Zwecken aus zwingenden städtebaulichen Gründen beantragt so genügt anstelle des § 87 Absatz 2 der Nachweis dass die Gemeinde sich ernsthaft um den freihändigen Erwerb dieses Grundstücks zu angemessenen Bedingungen vergeblich bemüht hat. Satz 1 ist entsprechend anzuwenden wenn die Enteignung eines im förmlich festgelegten Sanierungsgebiet gelegenen Grundstücks zugunsten der Gemeinde oder eines Sanierungsträgers beantragt wird.,widerspruch
Erblasser kann Testament nur durch Erklärung gegenüber Notar errichten.,Ein gemeinschaftliches Testament ist in den Fällen des § 2077 seinem ganzen Inhalt nach unwirksam. Wird die Ehe vor dem Tode eines der Ehegatten aufgelöst oder liegen die Voraussetzungen des § 2077 Abs. 1 Satz 2 oder 3 vor so bleiben die Verfügungen insoweit wirksam als anzunehmen ist dass sie auch für diesen Fall getroffen sein würden.,widerspruch
Besitzer hat Anspruch auf Beseitigung von Störung.,Eine von dem Berechtigten in Gemäßheit der §§ 873 875 877 abgegebene Erklärung wird nicht dadurch unwirksam dass der Berechtigte in der Verfügung beschränkt wird nachdem die Erklärung für ihn bindend geworden und der Antrag auf Eintragung bei dem Grundbuchamt gestellt worden ist.,widerspruch
"Der Bundeskanzler muss Vertrauen in die Bundesregierung aussprechen. Wenn dies nicht der Zustimmung der Mehrheit der Mitglieder des Bundestages entspricht, kann Bundespräsident auf Vorschlag des Bundeskanzlers den Bundestag auflösen. Das Recht zur Auflösung erlischt sobald der Bundestag einen anderen Bundeskanzler wählt.",Die Luftverkehrsverwaltung wird in Bundesverwaltung geführt. Aufgaben der Flugsicherung können auch durch ausländische Flugsicherungsorganisationen wahrgenommen werden die nach Recht der Europäischen Gemeinschaft zugelassen sind. Das Nähere regelt ein Bundesgesetz.Durch Bundesgesetz das der Zustimmung des Bundesrates bedarf können Aufgaben der Luftverkehrsverwaltung den Ländern als Auftragsverwaltung übertragen werden.,widerspruch
"Das Insolvenzgericht kann Maßnahmen nach § 21 ergreifen, um das von einem inländischen Sekundärinsolvenzverfahren erfasste Vermögen zu schützen. Gegen den Beschluss steht auch dem vorläufigen Verwalter die sofortige Beschwerde zu.",Zur Rechtsanwaltschaft kann nur zugelassen werden wer 1.die Befähigung zum Richteramt nach dem Deutschen Richtergesetz erlangt hat 2.die Eingliederungsvoraussetzungen nach Teil 3 des Gesetzes über die Tätigkeit europäischer Rechtsanwälte in Deutschland erfüllt oder3.über eine Bescheinigung nach § 16a Absatz 5 des Gesetzes über die Tätigkeit europäischer Rechtsanwälte in Deutschland verfügt.Das Berufsqualifikationsfeststellungsgesetz ist nicht anzuwenden.,widerspruch
Approbation kann widerrufen werden.,(weggefallen) Die Approbation kann widerrufen werden wenn nachträglich eine der Voraussetzungen nach § 4 Abs. 1 Satz 1 Nr. 3 weggefallen ist. Eine nach § 4 Abs. 2 oder 3 erteilte Approbation kann auch zurückgenommen werden wenn eine der nicht auf § 4 Abs. 1 Satz 1 bezogenen Voraussetzungen nicht vorgelegen hat.,perfekt
Der Erbe kann die ihm gegen den Erblasser zustehenden Ansprüche geltend machen. Hat der Erbe eine Nachlaßverbindlichkeit erfüllt so tritt er soweit nicht die Erfüllung nach § 1979 des Bürgerlichen Gesetzbuchs als für Rechnung des Nachlasses erfolgt gilt an die Stelle des Gläubigers es sei denn daß er für die Nachlaßverbindlichkeiten un,Der Erbe kann die ihm gegen den Erblasser zustehenden Ansprüche geltend machen. Hat der Erbe eine Nachlaßverbindlichkeit erfüllt so tritt er soweit nicht die Erfüllung nach § 1979 des Bürgerlichen Gesetzbuchs als für Rechnung des Nachlasses erfolgt gilt an die Stelle des Gläubigers es sei denn daß er für die Nachlaßverbindlichkeiten unbeschränkt haftet. Haftet der Erbe einem einzelnen Gläubiger gegenüber unbeschränkt so kann er dessen Forderung für den Fall geltend machen daß der Gläubiger sie nicht geltend macht.,perfekt
Der Verbraucher hat keine weiteren Ansprüche gegen den Verkäufer wegen des Widerrufs.,Die Kosten der Quittung hat der Schuldner zu tragen und vorzuschießen sofern nicht aus dem zwischen ihm und dem Gläubiger bestehenden Rechtsverhältnis sich ein anderes ergibt. Treten infolge einer Übertragung der Forderung oder im Wege der Erbfolge an die Stelle des ursprünglichen Gläubigers mehrere Gläubiger so fallen die Mehrkosten den Gläubigern zur Last.,widerspruch
"Eine Forderung, die ein Insolvenzgläubiger der Schuldner oder der Sachwalter bestritten hat, gilt nicht als festgestellt. Die Verteilungen werden vom Schuldner vorgenommen. Der Sachwalter hat die Verteilungsverzeichnisse zu prüfen und jeweils schriftlich zu erklären ob nach dem Ergebnis seiner Prüfung die Forderungen ordnungsgemäß verteilt worden s",Das Insolvenzgericht versagt die Restschuldbefreiung auf Antrag eines Insolvenzgläubigers wenn der Schuldner in dem Zeitraum zwischen Schlusstermin und Aufhebung des Insolvenzverfahrens oder in dem Zeitraum zwischen Beendigung des Insolvenzverfahrens und dem Ende der Abtretungsfrist wegen einer Straftat nach den §§ 283 bis 283c des Strafgesetzbuchs rechtskräftig zu einer Geldstrafe von mehr als 90 Tagessätzen oder einer Freiheitsstrafe von mehr als drei Monaten verurteilt wird. § 296 Absatz 1 Satz 2 und 3 Absatz 3 gilt entsprechend.,widerspruch
"Wenn das Gericht dem Zeugen eine Aussage zutraut, so ist er zu beeidigen. Dabei soll es sich um die Bedeutung der Aussage oder die Herbeiführung einer wahrheitsgemäßen Aussage im vereinfachten Verfahren handeln.",Das Prozessgericht kann nach seinem Ermessen die wiederholte Vernehmung eines Zeugen anordnen. Hat ein beauftragter oder ersuchter Richter bei der Vernehmung die Stellung der von einer Partei angeregten Frage verweigert so kann das Prozessgericht die nachträgliche Vernehmung des Zeugen über diese Frage anordnen. Bei der wiederholten oder der nachträglichen Vernehmung kann der Richter statt der nochmaligen Beeidigung den Zeugen die Richtigkeit seiner Aussage unter Berufung auf den früher geleisteten Eid versichern lassen.,widerspruch
Die Vorschlagsliste der ehrenamtlichen Richter wird von Präsidenten des Finanzgerichts aufgestellt. Die Berufsvertretungen sollen die Vorschläge berücksichtigen.,Die Vorschlagsliste der ehrenamtlichen Richter wird in jedem fünften Jahr durch den Präsidenten des Finanzgerichts aufgestellt. Er soll zuvor die Berufsvertretungen hören. In die Vorschlagsliste soll die doppelte Anzahl der nach § 24 zu wählenden ehrenamtlichen Richter aufgenommen werden.,perfekt
Geschiedener Ehegatte kann Unterhalt verlangen.,Ein geschiedener Ehegatte kann von dem anderen Unterhalt verlangen soweit von ihm im Zeitpunkt 1.der Scheidung 2.der Beendigung der Pflege oder Erziehung eines gemeinschaftlichen Kindes oder3.des Wegfalls der Voraussetzungen für einen Unterhaltsanspruch nach den §§ 1572 und 1573wegen seines Alters eine Erwerbstätigkeit nicht mehr erwartet werden kann.,perfekt
"Wer unrichtige oder unvollständige Angaben zu wesentlichen Voraussetzungen der Einbürgerung macht, wird bestraft.",Im Falle des Widerrufs der Bestallung nach § 14 kann die Aufsichtsbehörde jedoch frühestens nach Ablauf eines Jahres eine erneute Bestallung vornehmen wenn die Annahme begründet ist daß der Seelotse künftig den Anforderungen seines Berufes genügen wird.,widerspruch
Arbeitnehmer dürfen an Sonn- und gesetzlichen Feiertagen nicht beschäftigt werden.,Arbeitnehmer dürfen an Sonn- und gesetzlichen Feiertagen von 0 bis 24 Uhr nicht beschäftigt werden. In mehrschichtigen Betrieben mit regelmäßiger Tag- und Nachtschicht kann Beginn oder Ende der Sonn- und Feiertagsruhe um bis zu sechs Stunden vor- oder zurückverlegt werden wenn für die auf den Beginn der Ruhezeit folgenden 24 Stunden der Betrieb ruht. Für Kraftfahrer und Beifahrer kann der Beginn der 24stündigen Sonn- und Feiertagsruhe um bis zu zwei Stunden vorverlegt werden.,perfekt
"Wer auf Angehörige der Bundeswehr oder eines öffentlichen Sicherheitsorgans planmäßig Einfluss nimmt, um deren pflichtmäßige Bereitschaft zum Schutz der Sicherheit der Bundesrepublik Deutschland oder der verfassungsmäßigen Ordnung zu untergraben, wird mit Freiheitsstrafe bis zu 5 Jahren oder mit Geldstrafe bestraft. Der Versuch ist strafbar",Wer 1.ein Gesetzgebungsorgan des Bundes oder eines Landes oder einen seiner Ausschüsse 2.die Bundesversammlung oder einen ihrer Ausschüsse oder3.die Regierung oder das Verfassungsgericht des Bundes oder eines Landesrechtswidrig mit Gewalt oder durch Drohung mit Gewalt nötigt ihre Befugnisse nicht oder in einem bestimmten Sinne auszuüben wird mit Freiheitsstrafe von einem Jahr bis zu zehn Jahren bestraft. In minder schweren Fällen ist die Strafe Freiheitsstrafe von sechs Monaten bis zu fünf Jahren.,widerspruch
Die Gerichte können Parteien eine Mediation oder ein anderes Verfahren der außergerichtlichen Konfliktbeilegung vorschlagen.,Über das Ergebnis der Beweisaufnahme haben die Parteien unter Darlegung des Streitverhältnisses zu verhandeln. Ist die Beweisaufnahme nicht vor dem Prozessgericht erfolgt so haben die Parteien ihr Ergebnis auf Grund der Beweisverhandlungen vorzutragen.,widerspruch
Gegen einen Abwesenden findet keine Hauptverhandlung statt.,Gegen einen Abwesenden findet keine Hauptverhandlung statt. Das gegen einen Abwesenden eingeleitete Verfahren hat die Aufgabe für den Fall seiner künftigen Gestellung die Beweise zu sichern. Für dieses Verfahren gelten die Vorschriften der §§ 286 bis 294.,perfekt
"Die Eisenbahnen nachzurüsten bis zum 31. Dezember 2014, falls die Voraussetzungen nach § 15 Absatz 2 nicht erfüllt sind.",Strecken die am 1. Dezember 2012 die Voraussetzungen nach § 15 Absatz 2 nicht erfüllen sind bis zum Ablauf des 31. Dezember 2014 nachzurüsten. Bis zur Erfüllung der Ausrüstungsanforderungen nach § 15 Absatz 2 haben die Eisenbahnen anderweitige Maßnahmen zu treffen die die sichere Betriebsführung gewährleisten.,perfekt
"Der Bundesausschuß der Ärzte und Krankenkassen soll entscheiden, ob Ärzte und Krankenkassen mit Zustimmung des Bundesrates verpflichtet sind, Kassenpatienten auch in Zukunft mit einer Krankenversicherung zu versorgen.",Auf Grund des § 368c Abs. 1 der Reichsversicherungsordnung in der Fassung des Gesetzes über Änderungen von Vorschriften des Zweiten Buches der Reichsversicherungsordnung und zur Ergänzung des Sozialgerichtsgesetzes (Gesetz über Kassenarztrecht - GKAR) vom 17. August 1955 (Bundesgesetzbl. I S. 513) wird nach Beratung mit dem Bundesausschuß der Ärzte und Krankenkassen mit Zustimmung des Bundesrates verordnet:,perfekt
"Der Pfandgläubiger hat das Recht, den Verkauf von Pfandgut nach den Vorschriften der §§ 1234 bis 1240 zu bewirken.",Durch die rechtmäßige Veräußerung des Pfandes erlangt der Erwerber die gleichen Rechte wie wenn er die Sache von dem Eigentümer erworben hätte. Dies gilt auch dann wenn dem Pfandgläubiger der Zuschlag erteilt wird. Pfandrechte an der Sache erlöschen auch wenn sie dem Erwerber bekannt waren. Das Gleiche gilt von einem Nießbrauch es sei denn dass er allen Pfandrechten im Range vorgeht.,widerspruch
"Wer sich um einen Wahlplatz im Bundestag bewirbt, hat Anspruch auf den zur Vorbereitung seiner Wahl erforderlichen Urlaub.",Der Bundespräsident vertritt den Bund völkerrechtlich. Er schließt im Namen des Bundes die Verträge mit auswärtigen Staaten. Er beglaubigt und empfängt die Gesandten.Verträge welche die politischen Beziehungen des Bundes regeln oder sich auf Gegenstände der Bundesgesetzgebung beziehen bedürfen der Zustimmung oder der Mitwirkung der jeweils für die Bundesgesetzgebung zuständigen Körperschaften in der Form eines Bundesgesetzes. Für Verwaltungsabkommen gelten die Vorschriften über die Bundesverwaltung entsprechend.,widerspruch
Vorstand der Kassenärztlichen Vereinigung oder die durch die Satzung bestimmte Stelle bestimmt Eintragungen und Streichungen im Arztregister. Arzt erhält Bescheid über Eintragungen und Streichungen sowie über Ablehnung seiner Anträge auf Eintragung oder Streichung.,Über Eintragungen und Streichungen im Arztregister und in den Registerakten beschließt der Vorstand der Kassenärztlichen Vereinigung oder die durch die Satzung bestimmte Stelle. Der Arzt erhält über die seine Person betreffenden Eintragungen und Streichungen sowie über die Ablehnung seiner Anträge auf Eintragung oder Streichung einen schriftlichen Bescheid.,perfekt
"Vermächtnisnehmer darf nicht verlangen, dass Gegenstand beseitigt wird, der Rechte anderer verletzt. Vermächtnis erstreckt sich auf Anspruch auf Beseitigung. Bei ruhenden Hypotheken ist zu entscheiden, ob Hypothek als mitvermacht zu gelten hat.",Ist ein zur Erbschaft gehörender Gegenstand vermacht so kann der Vermächtnisnehmer im Zweifel nicht die Beseitigung der Rechte verlangen mit denen der Gegenstand belastet ist. Steht dem Erblasser ein Anspruch auf die Beseitigung zu so erstreckt sich im Zweifel das Vermächtnis auf diesen Anspruch. Ruht auf einem vermachten Grundstück eine Hypothek Grundschuld oder Rentenschuld die dem Erblasser selbst zusteht so ist aus den Umständen zu entnehmen ob die Hypothek Grundschuld oder Rentenschuld als mitvermacht zu gelten hat.,perfekt
"1. Wasser in gefaßten Quellen, die in Brunnen Leitungen oder Trinkwasserspeichern oder bestimmten Gegenständen, die zum öffentlichen Verkauf oder Verbrauch bestimmt sind, verwendet werden, ist ggf. vergiftet oder ihm gesundheitsschädliche Stoffe beigemischt oder vergiftete oder mit gesundheitsschädlic",Ein Amtsträger der während der Ausübung seines Dienstes oder in Beziehung auf seinen Dienst eine Körperverletzung begeht oder begehen läßt wird mit Freiheitsstrafe von drei Monaten bis zu fünf Jahren bestraft. In minder schweren Fällen ist die Strafe Freiheitsstrafe bis zu fünf Jahren oder Geldstrafe. Der Versuch ist strafbar. Die §§ 224 bis 229 gelten für Straftaten nach Absatz 1 Satz 1 entsprechend.,widerspruch
"Lebt der Unterhaltspflichtige in Gütergemeinschaft bestimmt sich seine Unterhaltspflicht Verwandten gegenüber so als ob das Gesamtgut ihm gehörte. Haben beide in Gütergemeinschaft lebende Personen bedürftige Verwandte ist der Unterhalt aus dem Gesamtgut so zu gewähren, als ob die Bedürftigen zu beiden Unterhaltspflicht",Lebt der Unterhaltspflichtige in Gütergemeinschaft bestimmt sich seine Unterhaltspflicht Verwandten gegenüber so als ob das Gesamtgut ihm gehörte. Haben beide in Gütergemeinschaft lebende Personen bedürftige Verwandte ist der Unterhalt aus dem Gesamtgut so zu gewähren als ob die Bedürftigen zu beiden Unterhaltspflichtigen in dem Verwandtschaftsverhältnis stünden auf dem die Unterhaltspflicht des Verpflichteten beruht.,perfekt
"Gruppen mit einem Rang hinter § 39 Abs. 1 Nr. 3 müssen mit der Zustimmung aller Gläubiger den Insolvenzplan abgeben. Beteiligt sich kein Gläubiger einer Gruppe an der Abstimmung, gilt die Zustimmung als erteilt.",Für die Annahme des Insolvenzplans durch die nachrangigen Insolvenzgläubiger gelten ergänzend folgende Bestimmungen: 1.Die Zustimmung der Gruppen mit einem Rang hinter § 39 Abs. 1 Nr. 3 gilt als erteilt wenn kein Insolvenzgläubiger durch den Plan besser gestellt wird als die Gläubiger dieser Gruppen.2.Beteiligt sich kein Gläubiger einer Gruppe an der Abstimmung so gilt die Zustimmung der Gruppe als erteilt.,perfekt
Vormundschaft muss vom Familiengericht angeordnet werden.,Das Familiengericht hat dem Jugendamt die Anordnung der Vormundschaft unter Bezeichnung des Vormunds und des Gegenvormunds sowie einen Wechsel in der Person und die Beendigung der Vormundschaft mitzuteilen. Wird der gewöhnliche Aufenthalt eines Mündels in den Bezirk eines anderen Jugendamts verlegt so hat der Vormund dem Jugendamt des bisherigen gewöhnlichen Aufenthalts und dieses dem Jugendamt des neuen gewöhnlichen Aufenthalts die Verlegung mitzuteilen. Ist ein Verein Vormund so sind die Absätze 1 und 2 nicht anzuwenden.,perfekt
"Der Gläubiger hat ein rechtliches Interesse an der Eröffnung des Insolvenzverfahrens. Ist seine Forderung erfüllt, so hat das Insolvenzgericht den Schuldner zu hören. Wird die Forderung des Gläubigers nach Antragstellung erfüllt, so hat der Schuldner die Kosten des Verfahrens zu tragen, wenn der Antrag als unbegründet ab",Der Antrag eines Gläubigers ist zulässig wenn der Gläubiger ein rechtliches Interesse an der Eröffnung des Insolvenzverfahrens hat und seine Forderung und den Eröffnungsgrund glaubhaft macht. Der Antrag wird nicht allein dadurch unzulässig dass die Forderung erfüllt wird. Ist der Antrag zulässig so hat das Insolvenzgericht den Schuldner zu hören. Wird die Forderung des Gläubigers nach Antragstellung erfüllt so hat der Schuldner die Kosten des Verfahrens zu tragen wenn der Antrag als unbegründet abgewiesen wird.,perfekt
"Kinder sind verpflichtet, ihren Eltern in ihrem Hauswesen und Geschäft Dienste zu leisten.",Sorgeerklärungen und Zustimmungen müssen öffentlich beurkundet werden. Die beurkundende Stelle teilt die Abgabe von Sorgeerklärungen und Zustimmungen unter Angabe des Geburtsdatums und des Geburtsorts des Kindes sowie des Namens den das Kind zur Zeit der Beurkundung seiner Geburt geführt hat dem nach § 87c Abs. 6 Satz 2 des Achten Buches Sozialgesetzbuch zuständigen Jugendamt zu den in § 58a des Achten Buches Sozialgesetzbuch genannten Zwecken unverzüglich mit.,widerspruch
Die Bundesprüfanstalt darf Prüfungen und Abnahmen durchführen.,Bis zu dem in § 163 Abs. 1 Satz 1 oder 2 genannten Zeitpunkt und für den Zeitraum einer Abwicklung nach § 164 sind die beim Inkrafttreten dieses Gesetzes für Gewerkschaften geltenden bergrechtlichen Vorschriften der Länder weiterhin anzuwenden soweit sich aus § 163 Abs. 1 Satz 3 und § 164 nichts anderes ergibt.,widerspruch
"Ersatzpflichtiger ist verpflichtet, nach Eintritt der Verjährung des Anspruchs auf Ersatz des durch eine unerlaubte Handlung entstandenen Schadens zur Herausgabe nach den Vorschriften über die Herausgabe einer ungerechtfertigten Bereicherung zurückzugeben.",Wird der Besitz durch verbotene Eigenmacht dem Besitzer entzogen so kann dieser die Wiedereinräumung des Besitzes von demjenigen verlangen welcher ihm gegenüber fehlerhaft besitzt. Der Anspruch ist ausgeschlossen wenn der entzogene Besitz dem gegenwärtigen Besitzer oder dessen Rechtsvorgänger gegenüber fehlerhaft war und in dem letzten Jahre vor der Entziehung erlangt worden ist.,widerspruch
"Wer ein Gebäude oder ein mit einem Grundstück verbundenes Werk übernimmt, ist für den durch den Einsturz oder die Ablösung von Teilen verursachten Schaden verantwortlich.",Ist wegen der Entziehung einer Sache der Wert oder wegen der Beschädigung einer Sache die Wertminderung zu ersetzen so kann der Verletzte Zinsen des zu ersetzenden Betrags von dem Zeitpunkt an verlangen welcher der Bestimmung des Wertes zugrunde gelegt wird.,widerspruch
Der Staat schützt die natürlichen Lebensgrundlagen und Tiere.,Der Staat schützt auch in Verantwortung für die künftigen Generationen die natürlichen Lebensgrundlagen und die Tiere im Rahmen der verfassungsmäßigen Ordnung durch die Gesetzgebung und nach Maßgabe von Gesetz und Recht durch die vollziehende Gewalt und die Rechtsprechung.,perfekt
Schuldner kann einen Schuldschein fordern.,Soweit nach den für die Hinterlegungsstelle geltenden Bestimmungen zum Nachweis der Empfangsberechtigung des Gläubigers eine diese Berechtigung anerkennende Erklärung des Schuldners erforderlich oder genügend ist kann der Gläubiger von dem Schuldner die Abgabe der Erklärung unter denselben Voraussetzungen verlangen unter denen er die Leistung zu fordern berechtigt sein würde wenn die Hinterlegung nicht erfolgt wäre.,widerspruch
Ausländerbehörde ist an die Entscheidung des Bundesamtes oder des Verwaltungsgerichts über das Vorliegen der Voraussetzungen des § 60 Absatz 5 oder 7 des Aufenthaltsgesetzes gebunden. Über den späteren Eintritt und Wegfall der Voraussetzungen des § 60 Abs. 4 des Aufenthaltsgesetzes entscheidet die Ausländerbehörde ohne dass es einer Auf,Die Ausländerbehörde ist an die Entscheidung des Bundesamtes oder des Verwaltungsgerichts über das Vorliegen der Voraussetzungen des § 60 Absatz 5 oder 7 des Aufenthaltsgesetzes gebunden. Über den späteren Eintritt und Wegfall der Voraussetzungen des § 60 Abs. 4 des Aufenthaltsgesetzes entscheidet die Ausländerbehörde ohne dass es einer Aufhebung der Entscheidung des Bundesamtes bedarf.,perfekt
Der Vorerbe trägt den gewöhnlichen Erhaltungskosten für die Erbschaft. Er kann die Aufwendungen aus der Erbschaft also auch bestreiten. Dann ist der Nacherbe im Falle des Eintritts der Nacherbfolge zum Ersatz verpflichtet.,Der Vorerbe trägt dem Nacherben gegenüber die gewöhnlichen Erhaltungskosten. Andere Aufwendungen die der Vorerbe zum Zwecke der Erhaltung von Erbschaftsgegenständen den Umständen nach für erforderlich halten darf kann er aus der Erbschaft bestreiten. Bestreitet er sie aus seinem Vermögen so ist der Nacherbe im Falle des Eintritts der Nacherbfolge zum Ersatz verpflichtet.,perfekt
"Finder ist verpflichtet, die Sache zu verwahren. Die Versteigerung ist öffentlich zu machen. Der Erlös tritt an die Stelle der Sache.",Der Finder ist zur Verwahrung der Sache verpflichtet. Ist der Verderb der Sache zu besorgen oder ist die Aufbewahrung mit unverhältnismäßigen Kosten verbunden so hat der Finder die Sache öffentlich versteigern zu lassen. Vor der Versteigerung ist der zuständigen Behörde Anzeige zu machen. Der Erlös tritt an die Stelle der Sache.,perfekt
